Molecule ChEMBL ID,Standardized Smiles,pIC50,MolWt,TPSA,nRotB,HBD,HBA,LogP,NumHetAtoms,NumHeavyAtoms,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,RingCount,FractionCSP3,Asphericity,Eccentricity,InertShpFactor,NPR1,NPR2,PMI1,PMI2,PMI3,RadGyr,SphIndex
CHEMBL402011,C[C@@H](Oc1cccc2ncnc(Nc3ccc4c(cnn4Cc4ccccn4)c3)c12)C(=O)N(C)C,6.7447,467.2069730400007,98.06000000000002,10.0,1.0,8.0,4.021900000000002,9.0,35.0,0.0,0.0,0.0,2.0,3.0,5.0,5.0,0.19230769230769232,0.4518294665314763,0.9715700644208582,0.000304280473976967,0.23675221207255776,0.8158075594898008,2681.1038803349397,9238.624611812911,11324.514592130858,4.985819724061875,0.1263746480222709
CHEMBL1242665,CC(C)n1nc(-c2ccn3ccnc3c2)c2c(N)ncnc21,4.3468,293.13889348000043,86.92,5.0,1.0,7.0,2.3041,7.0,22.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,0.2,0.38447687915691725,0.9602135402267743,0.0008065210839704512,0.2792668207380979,0.7969725474285217,988.1608345625355,2820.016554451222,3538.4111580131203,3.5387237323467184,0.17462825752616298
CHEMBL1242476,CC(C)n1nc(-c2ccc3c(N)n[nH]c3c2)c2c(N)ncnc21,6.684,308.1497925120005,124.32000000000001,6.0,3.0,7.0,2.1148999999999996,8.0,23.0,0.0,0.0,0.0,1.0,3.0,4.0,4.0,0.2,0.46273115550960014,0.973181358515256,0.0008657792615430075,0.2300392215218978,0.8282591892819984,956.6632351598024,3444.4783386381146,4158.6961946345145,3.7256023329229326,0.13062856622657953
CHEMBL1242572,Nc1ncnc2c1c(-c1ccc3cn[nH]c3c1)nn2C1CCCC1,6.1192,319.1545435440005,98.29999999999998,3.0,2.0,6.0,3.0669000000000013,7.0,24.0,1.0,1.0,1.0,1.0,3.0,4.0,5.0,0.29411764705882354,0.48013274121450233,0.9754224089749114,0.0008143573511710414,0.2203431961045785,0.8233990473248693,1011.1028606063738,3778.383661892608,4588.763703538582,3.8317528692373424,0.11430641785105027
CHEMBL244948,O=c1ccc2ccc(O)c(O)c2o1,5.1152,178.026608672,70.67,2.0,2.0,4.0,1.2041999999999997,4.0,13.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.4163654363406046,0.9643827127295699,0.002538543681207538,0.26451083794119973,0.7354891620629126,289.7287793421203,805.6092476302108,1095.3380269678266,2.4796460996657617,1.834800602529711e-11
CHEMBL406845,CC(C)(C)n1nc(-c2ccc(Cl)cc2)c2c(N)ncnc21,6.3188,301.10942319200046,69.62,2.0,1.0,5.0,3.483900000000001,6.0,21.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,0.26666666666666666,0.469634053310195,0.9741207540917965,0.0009349828131857206,0.2260282204673336,0.8308685391639131,888.6457884000412,3266.617887427976,3931.570078119831,3.660398031176012,0.20676456401016682
CHEMBL512054,COc1cc(O)c2c(c1)C(=O)C1=C(C2=O)[C@H](O)[C@@H](O)[C@@](C)(O)[C@@H]1O,4.7486,336.0845174720004,144.52,8.0,5.0,8.0,-1.0763,8.0,24.0,2.0,2.0,2.0,1.0,0.0,1.0,3.0,0.375,0.4578689504860033,0.9725936728131215,0.0008962203307502015,0.23251139241740978,0.8488182700232005,947.1089205404189,3457.565442700707,4073.3871604886667,3.5503603374053117,0.1292480606565834
CHEMBL217536,O=C(Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1)C1CCSS1,7.2218,445.9870652000004,66.91,4.0,2.0,6.0,5.228100000000002,8.0,26.0,0.0,0.0,1.0,2.0,1.0,3.0,4.0,0.16666666666666666,0.5921477260095702,0.9868708295721115,0.0004649075227650267,0.1615115034282462,0.870231056775636,1871.8369012399646,10085.539234679727,11589.495865670988,5.129935149436641,0.051018240002882714
CHEMBL498249,CO[C@H](C)c1c(O)cc2c(c1O)C(=O)c1c(cc(O)c(O)c1O)C2=O,4.3872,346.06886740800036,144.52,9.0,5.0,8.0,1.6974000000000014,8.0,25.0,1.0,1.0,1.0,2.0,0.0,2.0,3.0,0.17647058823529413,0.5265879186429236,0.9808303581739148,0.000859501932853437,0.19486356376816477,0.8383891549117103,975.4360320381887,4196.756821833994,5005.738441685769,3.833488434730463,0.0827378253128207
CHEMBL490570,CC(C)(C)c1cc(/C=C(\C#N)C(N)=O)cc(C(C)(C)C)c1O,4.301,300.1837780080006,87.11,3.0,2.0,3.0,3.3794800000000023,4.0,22.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.4444444444444444,0.2656837849943752,0.9272587337122629,0.0005496878158012631,0.37442120767169534,0.7363357153418445,1339.5525499660391,2634.3603538133666,3577.662062189069,3.545294862437758,0.21767472982356445
